react,fragC,fragO,product,C0O1_num
Cc1ccc(OC(=O)C(C)(C)C)cc1,*OC(=O)C(C)(C)C,*c1ccc(C)cc1,COc2ccc(c1ccc(C)cc1)cc2,c1([O:1][C:6](=[O:7])[C:8]([CH3:9])([CH3:10])[CH3:11])[cH:3][cH:2][c:15]([CH3:14])[cH:13][cH:12]1
Cc1ccccc1OC(=O)C(C)(C)C,*OC(=O)C(C)(C)C,*c1ccccc1C,COc2ccc(c1ccccc1C)cc2,c1([O:1][C:8](=[O:9])[C:10]([CH3:11])([CH3:12])[CH3:13])[cH:5][cH:4][cH:3][cH:2][c:15]1[CH3:14]
CC(C)(C)OC(=O)Oc1cccc2ccccc12,*c1cccc2ccccc12,*OC(=O)OC(C)(C)C,c3ccc2c(c1ccoc1)cccc2c3,c1([O:1][C:5]([O:4][C:18]([CH3:2])([CH3:3])[CH3:19])=[O:6])[cH:9][cH:10][cH:11][c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]12
CCN(CC)C(=O)Oc1cccc2ccccc12,*c1cccc2ccccc12,*OC(=O)N(CC)CC,c3ccc2c(c1ccoc1)cccc2c3,c1([O:1][C:5]([N:2]([CH2:3][CH3:4])[CH2:18][CH3:19])=[O:6])[cH:9][cH:10][cH:11][c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]12
O=C(Oc1cccc2ccccc12)c1ccccc1,*c1cccc2ccccc12,*OC(=O)c1ccccc1,c3ccc2c(c1ccoc1)cccc2c3,c1([O:1][C:19]([c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)=[O:20])[cH:4][cH:5][cH:6][c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]12
CC(C)(C)C(=O)Oc1c2ccccc2cc2ccccc12,*c1c2ccccc2cc2ccccc12,*OC(=O)C(C)(C)C,c4ccc(c2c1ccccc1cc3ccccc23)cc4,c1([O:1][C:4](=[O:5])[C:21]([CH3:2])([CH3:3])[CH3:22])[c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]2[cH:14][c:15]2[cH:16][cH:17][cH:18][cH:19][c:20]12
CCN(CC)C(=O)Oc1c2ccccc2cc2ccccc12,*c1c2ccccc2cc2ccccc12,*OC(=O)N(CC)CC,c4ccc(c2c1ccccc1cc3ccccc23)cc4,c1([O:1][C:5]([N:2]([CH2:3][CH3:4])[CH2:22][CH3:23])=[O:6])[c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]2[cH:15][c:16]2[cH:17][cH:18][cH:19][cH:20][c:21]12
CC(C)C(=O)Oc1c2ccccc2cc2ccccc12,*c1c2ccccc2cc2ccccc12,*OC(=O)C(C)C,c4ccc(c2c1ccccc1cc3ccccc23)cc4,c1([O:1][C:3](=[O:4])[CH:20]([CH3:2])[CH3:21])[c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]2[cH:13][c:14]2[cH:15][cH:16][cH:17][cH:18][c:19]12
CCC(=O)Oc1c2ccccc2cc2ccccc12,*c1c2ccccc2cc2ccccc12,*OC(=O)CC,c4ccc(c2c1ccccc1cc3ccccc23)cc4,c1([O:1][C:2](=[O:3])[CH2:19][CH3:20])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2[cH:12][c:13]2[cH:14][cH:15][cH:16][cH:17][c:18]12
CC(=O)Oc1c2ccccc2cc2ccccc12,*c1c2ccccc2cc2ccccc12,*OC(C)=O,c4ccc(c2c1ccccc1cc3ccccc23)cc4,c1([O:1][C:18](=[O:2])[CH3:19])[c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[cH:11][c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]12
